INSERT INTO `funjob`.`rel_agrup_perg` (
`idagrupamento` ,
`idpergunta` ,
`ordem` ,
`descricao`
)
VALUES 
('167', '12', '1', NULL),
('167', '13', '2', NULL), 
('167', '14', '3', NULL),
('167', '15', '4', NULL), 
('167', '16', '5', NULL), 
('167', '17', '6', NULL), 
('167', '18', '7', NULL), 

('168', '12', '1', NULL),
('168', '13', '2', NULL), 
('168', '14', '3', NULL),
('168', '15', '4', NULL), 
('168', '16', '5', NULL), 
('168', '17', '6', NULL), 
('168', '18', '7', NULL), 

('169', '12', '1', NULL),
('169', '13', '2', NULL), 
('169', '14', '3', NULL),
('169', '15', '4', NULL), 
('169', '16', '5', NULL), 
('169', '17', '6', NULL), 
('169', '18', '7', NULL), 

('170', '12', '1', NULL),
('170', '13', '2', NULL), 
('170', '14', '3', NULL),
('170', '15', '4', NULL), 
('170', '16', '5', NULL), 
('170', '17', '6', NULL), 
('170', '18', '7', NULL), 

('171', '12', '1', NULL),
('171', '13', '2', NULL), 
('171', '14', '3', NULL),
('171', '15', '4', NULL), 
('171', '16', '5', NULL), 
('171', '17', '6', NULL), 
('171', '18', '7', NULL), 

('172', '12', '1', NULL),
('172', '13', '2', NULL), 
('172', '14', '3', NULL),
('172', '15', '4', NULL), 
('172', '16', '5', NULL), 
('172', '17', '6', NULL), 
('172', '18', '7', NULL), 

('173', '12', '1', NULL),
('173', '13', '2', NULL), 
('173', '14', '3', NULL),
('173', '15', '4', NULL), 
('173', '16', '5', NULL), 
('173', '17', '6', NULL), 
('173', '18', '7', NULL), 

('174', '12', '1', NULL),
('174', '13', '2', NULL), 
('174', '14', '3', NULL),
('174', '15', '4', NULL), 
('174', '16', '5', NULL), 
('174', '17', '6', NULL), 
('174', '18', '7', NULL),
 
('175', '12', '1', NULL),
('175', '13', '2', NULL), 
('175', '14', '3', NULL),
('175', '15', '4', NULL), 
('175', '16', '5', NULL), 
('175', '17', '6', NULL), 
('175', '18', '7', NULL), 

('176', '12', '1', NULL),
('176', '13', '2', NULL), 
('176', '14', '3', NULL),
('176', '15', '4', NULL), 
('176', '16', '5', NULL), 
('176', '17', '6', NULL), 
('176', '18', '7', NULL), 

('177', '12', '1', NULL),
('177', '13', '2', NULL), 
('177', '14', '3', NULL),
('177', '15', '4', NULL), 
('177', '16', '5', NULL), 
('177', '17', '6', NULL), 
('177', '18', '7', NULL), 
('177', '19', '8', NULL),
('177', '20', '9', NULL), 
('177', '21', '10', NULL),
('177', '22', '11', NULL), 
('177', '23', '12', NULL), 
('177', '24', '13', NULL), 

('178', '12', '1', NULL),
('178', '13', '2', NULL), 
('178', '14', '3', NULL),
('178', '15', '4', NULL), 
('178', '16', '5', NULL), 
('178', '17', '6', NULL), 
('178', '18', '7', NULL), 

('179', '12', '1', NULL),
('179', '13', '2', NULL), 
('179', '14', '3', NULL),
('179', '15', '4', NULL), 
('179', '16', '5', NULL), 
('179', '17', '6', NULL), 
('179', '18', '7', NULL), 

('180', '12', '1', NULL),
('180', '13', '2', NULL), 
('180', '14', '3', NULL),
('180', '15', '4', NULL), 
('180', '16', '5', NULL), 
('180', '17', '6', NULL), 
('180', '18', '7', NULL), 

('181', '12', '1', NULL),
('181', '13', '2', NULL), 
('181', '14', '3', NULL),
('181', '15', '4', NULL), 
('181', '16', '5', NULL), 
('181', '17', '6', NULL), 
('181', '18', '7', NULL), 

('182', '19', '1', NULL),
('182', '20', '2', NULL), 
('182', '25', '3', NULL),
('182', '23', '4', NULL), 
('182', '26', '5', NULL), 
('182', '24', '6', NULL), 

('183', '12', '1', NULL),
('183', '13', '2', NULL), 
('183', '14', '3', NULL),
('183', '15', '4', NULL), 
('183', '16', '5', NULL), 
('183', '17', '6', NULL), 
('183', '18', '7', NULL), 
('183', '27', '8', NULL),
('183', '19', '9', NULL),
('183', '20', '10', NULL), 
('183', '28', '11', NULL),
('183', '29', '12', NULL), 
('183', '23', '13', NULL),

('184', '19', '1', NULL),
('184', '20', '2', NULL), 
('184', '28', '3', NULL),
('184', '29', '4', NULL), 
('184', '23', '5', NULL), 
('184', '30', '6', NULL), 
('184', '24', '7', NULL),

('185', '19', '1', NULL),
('185', '20', '2', NULL), 
('185', '28', '3', NULL),
('185', '29', '4', NULL), 
('185', '23', '5', NULL), 
('185', '30', '6', NULL), 
('185', '31', '7', NULL), 
('185', '24', '8', NULL), 
('185', '32', '9', NULL), 
('185', '33', '10', NULL),   


('186', '34', '1', NULL),
('186', '35', '2', NULL), 
('186', '36', '3', NULL),
('186', '19', '4', NULL),
('186', '20', '5', NULL), 
('186', '24', '6', NULL),
('186', '37', '7', NULL), 


('187', '19', '1', NULL),
('187', '20', '2', NULL), 
('187', '28', '3', NULL),
('187', '29', '4', NULL), 
('187', '23', '5', NULL), 
('187', '30', '6', NULL),
('187', '38', '7', NULL), 
('187', '13', '8', NULL),  
('187', '24', '9', NULL),


('188', '19', '1', NULL),
('188', '20', '2', NULL), 
('188', '28', '3', NULL),
('188', '29', '4', NULL), 
('188', '23', '5', NULL), 
('188', '30', '6', NULL),
('188', '38', '7', NULL), 
('188', '13', '8', NULL),  
('188', '24', '9', NULL),

('189', '19', '1', NULL),
('189', '20', '2', NULL), 
('189', '28', '3', NULL),
('189', '29', '4', NULL), 
('189', '23', '5', NULL), 
('189', '30', '6', NULL),
('189', '38', '7', NULL), 
('189', '13', '8', NULL),  
('189', '24', '9', NULL),

('190', '19', '1', NULL),
('190', '20', '2', NULL), 
('190', '28', '3', NULL),
('190', '29', '4', NULL), 
('190', '23', '5', NULL), 
('190', '30', '6', NULL),
('190', '38', '7', NULL), 
('190', '13', '8', NULL),  
('190', '24', '9', NULL),

('191', '12', '1', NULL),
('191', '13', '2', NULL), 
('191', '14', '3', NULL),
('191', '15', '4', NULL), 
('191', '16', '5', NULL), 
('191', '17', '6', NULL), 
('191', '18', '7', NULL), 

('192', '12', '1', NULL),
('192', '13', '2', NULL), 
('192', '14', '3', NULL),
('192', '15', '4', NULL), 
('192', '16', '5', NULL), 
('192', '17', '6', NULL), 
('192', '18', '7', NULL), 

('193', '12', '1', NULL),
('193', '13', '2', NULL), 
('193', '14', '3', NULL),
('193', '15', '4', NULL), 
('193', '17', '5', NULL), 
('193', '18', '6', NULL), 
('193', '39', '7', NULL), 

('194', '12', '1', NULL),
('194', '13', '2', NULL), 
('194', '14', '3', NULL),
('194', '15', '4', NULL), 
('194', '17', '5', NULL), 
('194', '18', '6', NULL), 
('194', '39', '7', NULL), 

('195', '12', '1', NULL),
('195', '13', '2', NULL), 
('195', '14', '3', NULL),
('195', '15', '4', NULL), 
('195', '17', '5', NULL), 
('195', '18', '6', NULL), 
('195', '39', '7', NULL), 

('196', '12', '1', NULL),
